Case_ID;57b428a6cef25a0a0d6681ac;;;;;;;;;;;;;;;;;;;;;;;;;;
Variant_ID;57b43118cef25a0a0d6681b1;;;;;;;;;;;;;;;;;;;;;;;;;;
Type;Buildings;;;;;;;;;;;;;;;;;;;;;;;;;;
building_ID;street_name;zip_code;footprint_area;building_type;amount_of_units;function;building_year;average_height(m);levels;building_style;roof_material;window_overall_ratio;EPCscore;heating_system;glazing_type;ventilation_type;wall_U;window_U;roof_U;occupants;heated_floor_area(m2);rent_per_month(euro);cost_electricity(euro/year);cost_district_heating(euro/year);cost_natural_gas(euro/year);cost_other_fuel(euro/year);operating_and_maintenance_costs(euro/year)
23G;Hendriklei;2020;174,92;MFH semi-detached;10;residential;1923;19,23;5;brick;bitumen;0,23;167;gas;double;A;0,6655;2,8;0,444;;91,99;;;;;;
23N;Jan Davidlei;2020;171,98;MFH semi-detached;10;residential;1923;17,18;5;brick;bitumen;0,23;181;gas;double;A;0,6655;2,8;0,444;;84,67;;;;;;
23S;Max Roosesstraat;2020;176,49;MFH semi-detached;10;residential;1923;19,24;5;brick;bitumen;0,24;140;gas;double;A;0,6655;2,8;0,444;;84,36;;;;;;
24C;Sint-Bernardsesteenweg;2020;175,02;MFH semi-detached;10;residential;1923;19,16;5;brick;bitumen, 100 mm MW;0,21;;gas;double;A;2,703;2,8;0,444;;;;;;;;
24P;Jan Davidlei;2020;202,50;MFH semi-detached;10;residential;1923;19,14;5;brick;bitumen, 100 mm MW;0,23;140;gas;double;A;0,603;2,8;0,444;;;;;;;;
24T;Jan Davidlei;2020;181,41;MFH semi-detached;10;residential;1923;19,20;5;brick;bitumen, 100 mm MW;0,23;140;gas;double;A;0,603;2,8;0,444;;;;;;;;
25E;Jan Davidlei;2020;157,34;MFH semi-detached;10;residential;1926;22,08;6;brick;bitumen;0,36;143;gas;HR;A;0,6225;1,1;0,444;;;;;;;;
25L;Jan Davidlei;2020;188,55;MFH semi-detached;10;residential;1926;21,87;6;brick;;;;gas;;C+;;;;;;;;;;;
25O;Alfons De Cockstraat;2020;176,64;MFH semi-detached;10;residential;1926;21,39;6;brick;;;;gas;;C+;;;;;;;;;;;
23B;Sint-Bernardsesteenweg;2020;360,34;MFH semi-detached;20;residential;1923;18,94;5;brick;bitumen;0,23;173;gas;double;A;0,6655;2,8;0,444;;86,82;;;;;;
23U;Max Roosesstraat;2020;392,81;MFH semi-detached;20;residential;1923;17,16;5;brick;bitumen;0,23;181;gas;double;A;0,6655;2,8;0,444;;84,67;;;;;;
24D;Sint-Bernardsesteenweg;2020;334,03;MFH semi-detached;20;residential;1923;17,07;5;brick;bitumen, 100 mm MW;0,28;175;gas;double;A;0,6655;2,8;0,444;;;;;;;;
25M;Jan Davidlei;2020;497,16;MFH semi-detached;25;residential;1926;21,76;6;brick;;;;gas;;A;;;;;;;;;;;
1A;Emiel Vloorsstraat;2020;63,02;SFH terraced;1;residential;1957;7,48;2;brick;;0,00;564;gas;double;;;0;;;122,00;;;;;;
1AA;Lodewijk De Raetstraat;2020;109,17;SFH semi-detached;1;residential;1957;7,41;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1I;Emiel Vloorsstraat;2020;83,16;SFH semi-detached;1;residential;1957;7,60;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1R;Lodewijk De Raetstraat;2020;84,61;SFH semi-detached;1;residential;1957;7,44;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
1X;Lodewijk De Raetstraat;2020;91,23;SFH semi-detached;1;residential;1957;7,42;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2B;Emiel Vloorsstraat;2020;106,43;SFH semi-detached;1;residential;1957;7,43;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2N;Emiel Vloorsstraat;2020;108,07;SFH semi-detached;1;residential;1957;7,49;2;brick;;0,00;;gas;single;A;1,7;5;1,9;;;;;;;;
2A;Lodewijk De Raetstraat;2020;64,00;SFH semi-detached;1;residential;1957;7,55;2;brick;;0,00;604;gas;double;;;0;;;155,00;;;;;;
